"Company","Country"
"EROCKIES INTL.N.A. GROUP","USA"
"Eurofighter Jadflugzeug GmbH","Germany"
"EUROJET Turbo GmbH","Germany"
"EXTREME CASES UK.","UK"
"FIDAE","Chile"
"Firstec Co., Ltd.","Korea"
"FLIR Systems","USA"
"Forecast International, Inc.","USA"
"FOREX Co., Ltd.","Korea"
"Fujian Robust Power Co., Ltd.","China"
"G.H. Varley Pty Ltd","Australia"
"GE Aviation","USA"
"General Atomics Aeronautical Systems","USA"
"Genohco., Inc.","Korea"
"German Aerospace Industries Association BDLI","Germany"
"GEROH GmbH & Co. KG","Korea"
"GIFAS","France"
"GLENAIR INC.","Korea"
"GLENAIR ITALY","Italy"
"Glenair United Kingdom & Ireland","UK"
"GLOBAL AVIATION SPARES PTY LTD","Australia"
"Global Business Press - USA & CANADA","USA"
"Global Business Press Pte Ltd","Singapore"
"Green Optics Co., Ltd.","Korea"
"Greenpoint Products and Services (GPS)","USA"
"Greenpoint Technologies, Inc.","USA"
"Gyeongnam-DO (GESCA)","Korea"
"HanilAero","Korea"
"Hanjin Information Systems & Telecommunication Co., Ltd","Korea"
"Hanseo University (Industry-Academic Cooperation Foundation)","Korea"
"Hanwha","Korea"
"Hanwha TechM","Korea"
"Hanyang ENG Co., Ltd.","Korea"
"Hanyang Navicom","Korea"
"Harlan Global Manufacturing, LLC","USA"
"Harris Corporation","USA"
"HAVELSAN","Turkey"
"HG&S Inc.","Germany"
"Honeywell Aerospace","Singapore"
"Hope Air Tech Co., Ltd","Korea"
"HUNEEDTECHNOLOGIES CO., LTD","Korea"
"HUONE Inc.","Korea"
"HUTCHINSON","France"
"Hyundai J.Comm Co., Ltd.","Korea"
"HYUNDAI ROTEM COMPANY","Korea"
"HYUNDAI-WIA Corp.","Korea"
"I.N.Tech Co., Ltd.","Korea"
"i3system, Inc.","Korea"
"IAI","Israel"
"IBK Asset Management Co., Ltd.","Korea"
"IBK Capital Corporation","Korea"
"IBK Credit Information Co., Ltd.","Korea"
"IBK Insurance Co., Ltd.","Korea"
"IBK Securities Co., Ltd.","Korea"
"IBK System Co., Ltd.","Korea"
"ILA Berlin Airshow 2014","Germany"
"ILSINTECH Co., Ltd","Korea"
"Industrial Bank of Korea","Korea"
"Industrial Metals International","USA"
"INHA University","Korea"
"Insitu Pacific","Korea"
"Insopack Co,. Ltd","Korea"
"INSTAR Co., Ltd","Korea"
"Insung Information","Korea"
"Intellics,Inc.","Korea"
"INTERFACE CONCEPT","France"
"International Suppliers Center ISC c/o ILA","Germany"
"International Trade & Technologies, Inc.","USA"
"Israel Weapon Industries (I.W.I)","Israel"
"JSC, Russian Helicopters","Russia"
"JungwooEng Co., Ltd.","Korea"
"Kallman Worldwide, Inc.","USA"
"KAMOV DESIGN BUREAU","Russia"
"Kangann Institute","Australia"
"KARI (Korea Aerospace Research Institute)","Korea"
"Kazan helicopters","Russia"
"Keystone Turbine Services","USA"
"KHDS LTD","Korea"
"KIA MOTORS","Korea"
"KONGSBERG DEFENCE & AEROSPACE AS","Korea"
"Kongsberg Defence And Aerpspace","Norway"
"Korea Advanced Institute of Science and Technology","Korea"
"KOREA AEROSPACE INDUSTRIES","Korea"
"Korea Aerospace Industries Association","Korea"
"Korea Aerospace Technology Research Association","Korea"
"Korea Defense & Security Forum (KODEF)","Korea"
"KOREA DEFENSE INDUSTRY ASSOCIATION","Korea"
"Korea Electro-Optics Co., LTD","Korea"
"KOREA EXPRESS AIR CO., LTD.","Korea"
"Korea Institute of Industrial Technology","Korea"
"KOREA JIG & FIXTURE IND CO., LTD","Korea"
"KOREA LOST-WAX CO., LTD","Korea"
"Korea Transportation Safety Authority","Korea"
"KOREAN AIR LINES CO., LTD","Korea"
"KOVICO (Korea Vehicle & Ind. Co., ltd)","Korea"
"Kulite Semiconductor Products, Inc.","USA"
"Kumertau Aviation Production Enterprise","Russia"
"KYEONG IN TECH CO., LTD","Korea"
"Kyeongshin Metal co., ltd.","Korea"
"Kyongju Aerospace Electrical Systems Co., Ltd.","Korea"
"L2K Co., Ltd","Korea"
"L-3 Communications","USA"
"LACROIX","France"
"LAVERSAB ASIA-PACIFIC","Taiwan"
"Laversab, Inc","USA"
"LG CNS","Korea"
"LIG Nex1 Co., Ltd.","Korea"
"LIONHEART Industries","USA"
"Lockheed Martin","USA"
"LORD Asia Pacific Limited","Hong Kong"
"LORD Corporation","Hong Kong"
"LS Mtron Ltd.","Korea"
"Luminator Aerospace","USA"
"LUPA AIRCRAFT MODELS BV","Netherlands"
"LUPA AIRCRAFT MODELS HOLLAND","Netherlands"
"Master Tech International Inc.","Korea"
"maxon motor Korea","Korea"
"maxon motor manufacturing","Korea"
"MBDA","France"
"MDS Technology co., Ltd","Korea"
"Merex Inc.","USA"
"Messe Berlin GmbH","Germany"
"MiCo CnC","Korea"
"Midoriya Electric Korea Co., Ltd","Korea"
"Mil Moscow Helicopter Plant","Russia"
"Miro Technologies","Korea"
"MJ TRADING CO","Korea"
"MMIST Ltd.","Canada"
"mototok International GmbH","Germany"
"NATIONAL INSTRUMENTS KOREA","Korea"
"National Parachute IND. Inc","USA"
"Navcours Co., Ltd.","Korea"
"Neuros Co., Ltd.","Korea"
"Neviworks Co., LTD","Korea"
"New Noga Light Ltd.","Israel"
"NEXCOMS CO.,LTD","Korea"
"NICOMATIC","France"
"Northrop Grumman Corporation","USA"
"Novosibirsk Aircraft Repair Plant","Russia"
"Nstel Inc.","Korea"
"O'Fallon Casting","USA"
"ODF optronics Ltd.","Israel"
"ODU GmbH","Germany"
"Odyssey Aerospace Components","USA"
"Olzetek, Inc.","Korea"
"PAAL Technologies Inc.","USA"
"Paine Electronics, LLC","USA"
"Pamanong Trading Co.","Korea"
"Paper Pak Industries","USA"
"Parker Aerospace","USA"
"Parvus","USA"
"Pearson Engineering","UK"
"Pelican Products, Inc","USA"
"Peopleworks","Korea"
"PHM Technology","Australia"
"pinetelecom","Korea"
"Pixoneer Geomatics","Korea"
"PLR Information System, Ltd","Israel"
"PMX INDUSTRIES, INC.","USA"
"POONGSAN CORP. SAUDI ARABIA OFFICE","Saudi Arabia"
"poongsan corporation","Korea"
"Poongsan FNS","Korea"
"poongsan hwadong","Korea"
"Power Sonix inc.","USA"
"Progress Arsenyev Aviation Company","Russia"
"PSIONDSP","Korea"
"Radiation Shield Technologies (RST)","USA"
"RAFAEL","Israel"
"Raytheon Company","USA"
"RBC Aerospace Bearings","USA"
"Reductor-PM","Russia"
"REO Co., Ltd(STEVENS TECH KOREA)","Korea"
"RIX Industries","USA"
"RMIT University","Australia"
"Robertson Fuel Systems, L.L.C","USA"
"Rockwell Collins","USA"
"ROK Air Force","Korea"
"ROK Army","Korea"
"ROK Marine Corps","Korea"
"Rolls Royce plc","UK"
"Rostvertol","Russia"
"ROTATING SYSTEMS KOREA Co.,Ltd","Korea"
"S&T Dynamics","Korea"
"S&T Motiv","Korea"
"S&T Motors","Korea"
"Saab AB","Sweden"
"Saab International Technology Korea Co. Ltd","Korea"
"Saemyung ADS Co., Ltd.","Korea"
"SAFEAERO","Sweden"
"Sagem","France"
"SAMIL SPINNING CO., LTD.","Korea"
"Samsung Techwin Co., Ltd.","Korea"
"SAMSUNG THALES","Korea"
"SamTra International","Korea"
"Samyang Comtech Co., Ltd.","Korea"
"SanCheong Co., Ltd.","Korea"
"Sandel Avionics Inc.","USA"
"SAP Media Worldwide Ltd","India"
"SCD","Israel"
"SD Corporation","Korea"
"SeA Electronics Co., Ltd.","Korea"
"SGD Engineering Ltd.","Israel"
"SHANDONG BINAO AIRCRAFT INDUSTRIES CO., LTD.","china"
"Shephard Media","UK"
"Shinseung Precision Ltd.","Korea"
"SIBAT-Israel Ministry of Defense","Israel"
"Smartec corporation","Korea"
"SMARTLINE","Korea"
"SmartSysTec Inc. (SST)","Korea"
"Smiths Connectors/Hypertac","Singapore"
"SOFRADIR","France"
"South African Aerospace, Maritime & Defense Industries Association (AMD)","South Africa"
"South African Embassy","South Africa"
"Stupino Machine Production Plant","Russia"
"SUNG JIN C&T","Korea"
"Sung Woo I&T","Korea"
"SUNGSANTECHNOLOGY","Korea"
"SUNGWOO ENGINEERING","Korea"
"Survival One","UK"
"TAE","Australia"
"Tapestry Solutions","Korea"
"TAURUS Systems GmbH","Germany"
"TekMast","Belgium"
"Teledyne Microwave Solutions","UK"
"Telephonics Corporation","USA"
"TenCate Protective Fabrics","USA"
"Textron Systems","USA"
"Thales Air Traffic Management","France"
"The Korea Transport Institute","Korea"
"The Korean-German Chamber of Commerce and Industry","Germany"
"The Society of Japanese Aerospace Companies (SJAC)","Japan"
"The University of Queensland School of Mechanical and Mining Engineering","Australia"
"The Will-Burt Company.","USA"
"Thornhill Research Inc.","Canada"
"TITEFLEX AEROSPACE","France"
"Trakkacorp Pty Ltd","Australia"
"TZEN CO., LTD","Korea"
"U.S. Air Tool Company","USA"
"U.S. Commercial Service","USA"
"UCONSYSTEM CO., LTD","Korea"
"UKTI Defence & Security Organisation","UK"
"Ulan-Ude Aviation Plant","Russia"
"UNIMAX","Korea"
"UTC AERO SPACE SYSTEMS","UK"
"U-Tel Co., Ltd.","Korea"
"Vipac Engineers & Scientists Ltd","Australia"
"VISLINK","UK"
"VITZROCELL","Korea"
"Watson and Associates LLC","USA"
"Weihai Guangtai Airport Equipment Co., Ltd","China"
"Wilko Aero","Korea"
"Withus Engineering Co., Ltd","Korea"
"Wooribyul Co., LTD","Korea"
"YEONHAB PRECISION CO., LTD","Korea"
"Young Poong Electronics Co., Ltd","Korea"
"Yuzhnoye State Design Office","Ukraine"
"3DI Korea","Korea"
