"Company name","Country"
"MKEK ","Turkey"
"HAVELSAN ","Turkey"
"TUSAS ","Turkey"
"STM SAVUNMA TEKNOLOJILERI MUHENDISLIK VE TIC.A .S. ","Turkey"
"VESTEL AYESAS ","Turkey"
"ONUR MUHENDISLIK A.S. ","Turkey"
"TISAS TRABZON SILAH SANAYI A.S. ","Turkey"
"SEYKOC ALUMINYUM PAZ. VE SAN. TIC. LTD. ","Turkey"
"YAKUPOGLU TEKSTIL VE DERI SAN. TIC. A.S. ","Turkey"
"MILSOFT YAZILIM TEKNOLOJILERI A.S. ","Turkey"
"TUBITAK BILGEM ","Turkey"
"ISBIR ELEKTRONIK SANAYI A.S. ","Turkey"
"BMC OTOMOTIV SANAYI VE TICARET A.S. ","Turkey"
"CTECH BILISIM TEKNOLOJILERI SAN. VE TIC. A.S. ","Turkey"
"SDT UZAY VE SAVUNMA TEKNOLOJIERI A.S. ","Turkey"
"OZTIRYAKILER MADENI ESYA SAN. VE TIC. A.S. ","Turkey"
"SIMSOFT BILGISAYAR TEKNOLOJILERI LTD. STI. ","Turkey"
"SPEKON SAVUNMA VE HAVACILIK SANAYI VE TICARET LTD. STI.","Turkey"
"TEKOM ELEKTRIK ELEKTRONIK MAK.INS.SAN. TIC. LTD. STI. ","Turkey"
"OZTEK ","Turkey"
"ASPILSAN ","Turkey"
"Savunma ve Havacilik ","Turkey"
"Defence Turkey ","Turkey"
"MSI Magazine ","Turkey"
"Thermoteknix Systems LTD ","UK"
"IHS Jane's Defence Weekly ","UK"
"Soldier Magazine ","UK"
"Defence Procurement International ","UK"
"TEAS ","UK"
"Infora Limited ","Ukraine"
"Motor Sich ","Ukraine"
"Scientific Production Engineering ""Temp 3000"" LLC ","Ukraine"
"Ukrspecexport/Ukroboronprom ","Ukraine"
"Ukrainian Defense Review ","Ukraine"
"Defense Express ","Ukraine"
"Yugoimport SDPR","erbia"
