Company,Product categories,Company description,Page_URL
5th Axis Workholding,Supplier -  MachinerySupplier -  StampingSupplier -  FabricationSupplier -  Plastics,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1722
7.62 Design,"SHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Training and Safety Equipment",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=716
707 Tactical Gear (SK7),"SHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Firearms",707 Tactical Gear is a company completely dedicated to design and manufacture the most innovative and advanced tactical and military apparel and footwear in the world. It is one of the few American companies in its niche that can design specific products according to our clients requests and manufacture them out of U.S. made materials in our fully owned factories. We are proud that we don’t manufacture any of our products in China. We are here to serve our law enforcement and military forces. Serving the brave in the land of the free. (less),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=11
A-B Emblem,"SHOT -  Custom ManufacturingSHOT -  International ExhibitorsSHOT -  Apparel, Men'sSHOT -  Apparel, Women's","129-year-old, 5th generation family-owned embroidery company nestled in the mountains of Western North Carolina, just outside of Asheville. We offer a wide variety of custom embroidered items such as keychains, luggage and bag tags (great for gun cases), PVC patches, hats with patches attached, lapel pins, medals, stickers, challenge coins, VELCRO® patches, and custom patches of all kinds. Our custom patch caps and beanies are best-selling items. Custom PVC and VELCRO® patches are also bestsellers. USA and state flag patches are another. A-B has made patches for the US military since 1941. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=15
A&K Airsoft,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=4041
A+ Products,Supplier -  PackagingSupplier -  Metals,"Headquartered in Marlboro, NJ, A+ Group has been providing manufacturers with plastic and metal hardware for over 25 years. With an extensive inventory in our distribution facilities on both the east and west coast, A+ is your go-to supply partner. In addition to our standard hardware line, we also represent some of the world's top brands and manufacturers including Fidlock, Winhigh, Trimmers and Trans-Tex. Complementary to the A+ lines, our overseas division delivers custom product, retail ready goods, and sourcing services. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1723
AA&E Leathercraft,"SHOT -  Hunting Gear/AccessoriesSHOT -  OutfittersSHOT -  LeathergoodsSHOT -  Scents/LuresSHOT -  Cutlery/Sharpeners/Knives/AccessoriesSHOT -  Apparel, Men's","Complete Line of Hunting Products: Leather, Neoprene, and Nylon Gunslings; Camo and Leather Sportsman Belts, Work Belts, and Shotgun Shell Belts; Suspenders; Sportsman Camo and Leather Wallets; Dog Collars and Leads, Handgun Cases; Knife Sheaths; Shell Pouches; Binocular Straps; Neoprene Recoil Pads; Butt Stock Shell Holders; Back-of-Seat Gun Holders; Utility Camo Rope; Skeet, Sporting Clay, or Trapshooting Bags; Shooting Bench Rest Bags; Swivels, and Miscellaneous Hunting Accessories (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=12
AAC Ammunition,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3031
AAMed Tech,Supplier -  FabricsSupplier -  Tools,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3919
AAO Manufacturing,"SHOT - Firearm Barrels/Parts/Gunsmithing
SHOT - Firearms
SHOT",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=14
AB Tools Inc.,Supplier -  Tools,"Special cutting tools, standard cutting tools, manufacturer of
M-Lok Slot & Chamfer cutters, M-Lok backface cutters, Picatinny Rail cutters, Male Picatinny Rail cutter, Solid Carbide Slot & Chamfer Picatinny Rail End Mill, Solid Carbide Keymod cutter and the Charging Handle Slot Cutter. Custom sight dovetails. Special gun manufacturing tools to your specs within 4-6 work days. Home of the Shear-Hog & Dexi-Dovetail. Keyseat cutters & Form tools to your specs in 4-6 work days.  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1725
Abrona International,SHOT -  Hearing ProtectionSHOT -  HolstersSHOT -  Communications/Electronics/GPSSHOT -  FootwearSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Retailer Services,"We feel immense pleasure in introducing ourselves as a country-leading manufacturer and export business of armed forces items, specializing in Defender gloves and Defender accessories like (safety cut-proof garments, anti-riot suits, bag packs, combat shirts, Balaclava, Shemagh, police vests, etc.). We have been involved in the business since 1949 and serve our customers with top-class quality products. The factory is well equipped with latest technology. Highly qualified and experienced personnel ensure the efficient operation of the plant and the company is certified under ISO 9001:2015. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=16
Absolute Machine Tools,"SHOT - Custom Manufacturing
SHOT - Firearm Barrels/Parts/Gunsmithing
SHOT - Gunsmith Tools
SHOT
SHOT - Firearms","Absolute Machine Tools is an ideal partner for manufacturers of gun barrels and other firearm components. We supply gun drills and rifling machines to some of the largest barrel and component manufacturers in the U.S. and Canada. Our innovative product line includes quality CNC solutions for machining components such as: shotgun chokes, muzzle breaks, suppressors, cylinders, ammunition, firing pins, triggers, gun barrels, slides, receivers, uppers, firearm bodies, bolt carriers, and more. Visit Booth #72246 and see the Precihole GVN-12C/4-800 4-Spindle CNC Gun Drilling machine on display.  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=17
Absolute Machine Tools Inc.,Supplier -  MachinerySupplier -  SoftwareSupplier -  ServicesSupplier -  ToolsSupplier -  Fabrication,"Absolute Machine Tools is the ideal partner for manufacturers of firearm components. We provide cost-effective CNC machine tool and automation solutions that are guaranteed to optimize your operations while improving quality and increasing efficiency. Our innovative product line includes CNC solutions for machining components such as: gun barrels, shotgun chokes, muzzle breaks, suppressors, cylinders, ammunition, firing pins, triggers, barrels, slides, receivers, uppers, firearm bodies, bolt carriers, and more. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1726
Accro-Met Inc.,"Supplier - Machining
Supplier - Metals
Supplier
Supplier - Packaging","We are a Small, Woman Owned metal distributor stocking materials such as Stainless, Aluminum, Alloy Steel, Titanium and Carpenter 158 for gun manufacturers. We also have the capability to precision-cut bars to tight tolerances and chamfer ends for JIT deliveries from our North Carolina and Connecticut facilities. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1727
"Accu-Shot, Atlas, B&T Industries LLC",SHOT -  Hearing ProtectionSHOT -  Game CallsSHOT -  Firearm Cabinets/Racks/SafesSHOT -  Pet Supplies/Training EquipmentSHOT -  OutfittersSHOT -  Communications/Electronics/GPS,"B&T Industries LLC is the manufacturer and patent-holder of the Accu-Shot Monopods and Atlas Bipods — the finest tools for the military, law enforcement and civilian marksman. The company creates and continues to grow by listening to the suggestions of both professional and amateur shooters about the sport and their needs. Known as a responsive, customer service–oriented company, B&T strives to improve current products while bringing innovative, problem-solving products to the market. Designed, engineered, manufactured and assembled in America. We Are Support™! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=142
Accu-Tac Precision Bipods and Accessories,SHOT -  Game CallsSHOT -  Firearm Grips/StocksSHOT -  Hearing ProtectionSHOT -  Shooting Range EquipmentSHOT -  Outfitters,"Accu-Tac is a firearm accessories line that includes bipods, scope rings and rail adapters. We manufacture top-quality and precision products for the shooting world. Accu-Tac designs and builds its products using the best technology available in every aspect of design, materials and manufacturing. All products are 100% made in the USA. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=23
Accufire Technology,SHOT -  Law Enforcement Products/ServicesSHOT -  Retailer ServicesSHOT -  Binoculars/Telescopes,"Accufire Technology is a firearm optics manufacturer based out of Dallas, TX. We take pride in offering professional-quality optics at an affordable price point to the masses. We currently hold 21 US patents and counting, and all our product designs have been thoroughly tested by industry experts. Our innovative optics offer a vast selection of unique, high-quality features, including state-of-the-art night vision and thermal capabilities. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=19
Accuracy International of North America,SHOT -  Firearm Grips/StocksSHOT -  Firearm Cabinets/Racks/SafesSHOT -  International ExhibitorsSHOT -  Firearm Locks,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=20
Accurate Gun Auctions,SHOT -  FirearmsSHOT -  Recoil Protection Devices/Services,"As industry leaders in auctioneering since 2011, when it comes to selling a firearm, we've helped thousands of Americans sell their guns the safe, legal, and hassle-free way. Our streamlined process allows us to present your firearm to a global audience, thus making it most visible for a true fair market value. We make selling a gun fast and easy. As a Firearms Auction House, we have a very common goal with our consignors: Legally transfer ownership to worthy buyers & collectors while achieving the highest possible price. We believe in living by the golden-rule! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3564
Accurate Pistol Systems LLC,SHOT -  OutfittersSHOT -  HolstersSHOT -  Retailer ServicesSHOT -  Scents/Lures,"ONE-SHOT Systems / Accurate Pistol Systems LLC
The ONE-SHOT is a Dynamic Pistol Rest that gives an operator the ability to fire their handgun with increased accuracy, stability, and safety. The ONE-SHOT is not a firearm. The ONE-SHOT never attaches to the handgun, enabling the operator to deploy or reholster their handgun in seconds. The operator simply places their handgun against the wall of the ONE-SHOT to safely stabilize the firearm, significantly reducing recoil and trigger pull errors.The ONE-SHOT is proudly Made in the U.S.A. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=22
Accurate-Mag Products,,"Accurate-Mag Products is a designer and manufacturer of precision firearms and components, including rifle chassis in wood, composite and machined aluminum. AM Products’ cartridge magazines are used worldwide and feature over 40 calibers in a large selection of SSSF, DSSF and DSDF magazine box types. Our bottom metal (BM) systems fit any AM magazine for most OEM rifle stock configurations. Our modular stock systems also fit most OEM actions and can be configured for sporting tactical, hunting or LE/MIL operations. AM products is a great line for gunsmiths or gun stores to earn extra revenue. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=145
Accusharp International/Fortune Products Inc.,"SHOT - Cutlery/Sharpeners/Knives/Accessories
SHOT - Hunting Gear/Accessories
SHOT - Fishing Equipment/Tackle
SHOT - Camping
SHOT - Law Enforcement Products/Services
SHOT","Fortune Products focuses on one primary goal with the AccuSharp line of products: making the most effective knife and blade sharpeners in the world. Our every effort is aimed toward creating products that will provide the sharpest edge possible for your knives, tools and equipment. Whether your sharpening needs are for the kitchen, workshop, yard, hunting, fishing or other outdoor sports, our sharpening products can help you maintain the very best edge. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=513
Ace Link Armor,"SHOT -  Training and Safety EquipmentSHOT -  Law Enforcement Products/ServicesSHOT -  Apparel, Men'sSHOT -  Wholesaler/Distributor","Ace Link Armor is a premier U.S. manufacturer specializing in top-tier body armor products: bulletproof vests, armor plates, plate carriers, ballistic helmets, and others. All soft armor panels are made in USA using only the finest materials and construction techniques. NIJ Level IIIA Soft Armor Panels are exclusively manufactured here at our facilities in Southern California. Our protective clothing is made from the highest quality materials: Aramid, Polyethylene, Ceramic and Nylon. We use state-of-the-art manufacturing processes and equipment to ensure the best quality. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=24
ACEBEAM Technology,SHOT -  Lighting ProductsSHOT -  CampingSHOT -  Hunting Gear/AccessoriesSHOT -  Shooting Range EquipmentSHOT -  Law Enforcement Products/ServicesSHOT -  Survival Kits/First Aid,"The ACEBEAM brand was established in 2014. It is a pioneer in the research development and production of high-power mobile lighting products and a leader in the combination of optical design and lighting applications. With China's first-class manufacturing base, ACEBEAM has established a retail network with partners in more than 89 countries and regions around the world. ACEBEAM is known for its unwavering commitment to product quality and has become a trusted brand for users around the world for providing reliable and stable lighting solutions. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3437
Acetac Gear,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3613
Acme Manufacturing,Supplier -  MachinerySupplier -  FinishingSupplier -  Machining,"Acme Manufacturing is one of the earliest pioneers in robotic material removal automation. Since 1910, the company has remained family-owned and operated by four generations of the Carlson family. The family has brought a steady sequence of innovations to over 20 industries on a global scale. As the premier robotic integrator in material removal, Acme has produced over 3900 robotic systems, with over 200 systems developed for the firearms industry. In addition, Acme is known for its full line of coated abrasive belt centerless grinding systems, ideal for O.D. grinding of bars and tubes. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1729
ACORP Archery,SHOT -  HolstersSHOT -  Game CallsSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Clay TargetsSHOT -  ReloadingSHOT -  Communications/Electronics/GPS,"Archers’ safety products are what ACORP Archery has become known for. With a wide range of styles including leather gloves, tabs, arm guards and quivers, ACORP Archery Products has what you need to be in style. ACORP Archery is one of the largest archery safety products manufacturers in Pakistan. ACORP Archery Products has developed a strong reputation for producing great fittings and sizes in high-quality leather. Over the years, ACORP Archery has incorporated ideas to make safety products more comfortable, practical and safe for archery lovers. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=27
ACTinBlack,SHOT -  Binoculars/Telescopes,"ACTinBlack (ACT) is a leading developer and manufacturer specializing in Advanced Night Vision Optics. In addition to producing high-quality Night Vision Equipment, ACT is a recognized researcher in the field of Night Vision Technologies. Working with the world’s leading sub-suppliers as well as recognized experts in Optical and Night Vision research, ACT partners with law enforcement and military to develop premier quality Night Vision products and solutions. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=29
Action Target,SHOT -  Training and Safety EquipmentSHOT -  Law Enforcement Products/ServicesSHOT -  Shooting Range EquipmentSHOT -  Retailer ServicesSHOT -  TargetsSHOT -  Firearms,"Action Target is the industry leader in complete shooting range solutions. The start-to-finish approach encompassing every step of the process is unique to Action Target. From the initial range design drawings to manufacturing, product design, and the final installation, the company has knowledgeable, in-house professionals who execute each step of the process. Action Target designs, manufactures, and installs turnkey and custom shooting ranges, tactical combat houses and portable steel targets for versatile firearms training. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=30
ActionSportGames USA Inc.,SHOT -  Airgun/Airsoft ProductsSHOT -  Shooting Range EquipmentSHOT -  Retailer Services,"ActionSportGames (ASG) is a worldwide leader in the business of 1:1 scale replica firearms and accessories manufacturing — including airsoft guns, airguns, CO2 guns and firearm accessories of all sorts. ASG’s assortment of high-profile licensed firearms continues to gain awareness and preference among the growing consumer, gamer, LE and outdoor recreational markets. Our goal is to become the preferred supplier in the replica firearms business through worldwide license agreements, quality brands and premium service — before, during and after sales. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=31
Active Manufacturing,Supplier -  MachiningSupplier -  StampingSupplier -  Fabrication,"Active Manuifacturing is an ISO and ITAR registered company specializing in stampings, springs, clips, CNC machined components and assemblies for all industries.  Using 3, 4 and 5 axis CNC's, mechanical, hyrdualic and servo press from 1-220 tons, multi axis CO2 and fiber lasers, mig, tig, laser, spot and micro spot welding, EDM, marking technology and more under one roof.  We can take your project from your cad files to finished parts helping you get to market faster.  We would appreciate the chance to earn your business on your next project. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1731
ACW,Supplier -  PlasticsSupplier -  Fabrication,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1751
Adams Arms,SHOT -  Firearm Grips/StocksSHOT -  Hearing ProtectionSHOT -  EyewearSHOT -  Communications/Electronics/GPSSHOT -  Firearms,"The Adams Arms team is committed to providing cutting-edge technology that is clean, cool and reliable, starting with the industry’s first and only patented retrofit kit for the AR-15 platform that makes it a relevant weapon of the future. We will continue to develop products that improve performance and minimize maintenance at the highest level of quality, from full rifles to all relative configurations. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=32
Adaptive Tactical,SHOT -  Firearm Grips/StocksSHOT -  HolstersSHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Hunting Gear/AccessoriesSHOT -  Law Enforcement Products/Services,"Complete line of replacement polymer stocks, grips, lights and holsters. Manufacturer and distributor of Made in USA AR, Shotgun, Rimfire and Handgun Accessories. Domestic and International Dealer and Distributor programs available. Brands Adaptive Tactical, Hoftac Holsters, Bishop Defense, Kroko USA  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3518
"ADCO Arms Co., Inc.",SHOT -  AmmunitionSHOT -  FirearmsSHOT -  Retailer ServicesSHOT -  Scents/Lures,"ADCO is a name known for years for Super Thumb magazine loaders and premium optical goods, as well as for being a pioneer in red-dot sighting. As well as these well-known accessories ADCO imports a number of shotguns from Turkey. ArmsGroup now provides ADCO with an vast array of shotguns rifles and pistols at superior quality at modest prices. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=33
ADDTAC Mfg / ATM,SHOT -  Law Enforcement Products/ServicesSHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  Retailer ServicesSHOT -  Custom ManufacturingSHOT -  Training and Safety EquipmentSHOT -  Firearm Barrels/Parts/Gunsmithing,"ADDTAC, Which began as a 3D metal printing company, ADDTAC now expanded its manufacturing capability with latest advanced technology 5-Axis CNC milling machines, ADDTAC is Research, Development and U.S. Manufacturer of War Fighter Systems in Night Vision, Electro-Optical accessories and Weapon system accessories. 07 FFL licensed manufacturer. Based in Irvine, California. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3725
Ade Advanced Optics Inc,SHOT -  OutfittersSHOT -  Shooting Range EquipmentSHOT -  Firearm LocksSHOT -  Firearm Cabinets/Racks/SafesSHOT -  Game Calls,"Ade Advanced Optics is a oregon company establised in 2008. We have been exhibiting Shotshow since 2008. Our company is the manufacturer and direct importer of high quality hunting/shooting gears, from optics, mounts, lights, lasers, bipods to ar15 parts, and many other accessories for one-stop shopping. Everything is instock in Oregon. Our newest products for 2023 are Motion Awake, Multi Reticle handgun red dots fit optic plate/cut/slide that are compatible with RMR/RMRcc/RMS/RMSc/Doctor footprints. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=34
ADI World Class,SHOT -  AmmunitionSHOT -  Black Powder/Smokeless Powder,"ADI World Class is a premier match-grade ammunition manufacturer with a successful track record delivering ammunition, propellants, explosives and related services. Global Ordnance is the exclusive importer of ADI World Class in the United States and offers multiple calibers to distirbutors, dealers, and consumers. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2710
Adler Arms,SHOT -  Firearms,"Adler Arms started as a family company with the aim of high quality and solid design. We present the unique and flawless lever-action shotgun to our customers. In addition to offering patented units, Adler Arms Company has fascinating semiautomatic, pump-action, tactical, over-under and single-barrel models. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=35
ADS Inc,"SHOT -  Firearm LocksSHOT -  OutfittersSHOT -  Feeder EquipmentSHOT -  Apparel, Men'sSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Retailer Services","ADS is the world’s premier equipment, procurement and support solutions specialist to the military, law enforcement, first responders and the defense industry. We are focused on solving your challenges through the largest product and service selection, the broadest array of procurement and contract options, and world-class support and logistics solutions to enhance readiness and your acquisition strategy. Bring us your mission. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=36
AdTec Footwear,SHOT -  Footwear,"Ad-Tec Footwear by Hypard has been supplying America’s hardworking and reliable workers, as well as outdoor enthusiasts, with high-quality footwear for more than 40 years. We are a family-owned company that began and continues to operate in Los Angeles, California, since 1981. The Ad-Tec Brand is founded on three key tenets: meeting consumer demand, prioritizing safety features, and offering reasonable prices for high-quality goods to the market. Our manufacturing team works directly with our factories to acquire the highest quality materials and workmanship in the industry. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2486
Advanced Armament Co.,SHOT -  FirearmsSHOT -  Firearm Barrels/Parts/Gunsmithing,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=37
Advanced Nitriding Solutions,Supplier -  Finishing,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1734
Advanced Plating Technologies,SHOT -  AmmunitionSHOT -  FirearmsSupplier -  MetalsSupplier -  Finishing,"Advanced Plating Tech. provides engineered coating solutions for ammunition/firearm manufacturers to improve the function, durability & marketing appeal of their products. Seven proprietary finishes developed over our 75+ years in business including Ducta-Bright 7a® nickel, Eclipse-TPD® & Black-TPD® plating of shell casings, Tacti-Black® EN for firearm components & Dura-Nickel HP+® plating of steel penetrators. Core capabilities include plating of nickel, electroless nickel, tin, copper, silver and gold as well as passivation & powder coating. ISO 13485 & 9001 certified, ITAR, Ty 10 FFL. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=38
Advanced Plating Technologies-Supplier,Supplier -  MetalsSupplier -  FinishingSHOT -  FirearmsSHOT -  Ammunition,"Advanced Plating Tech. (APT) provides engineered coating solutions across a range of industries including the firearm, ammunition, medical, power T&D & EV sectors. More than just a metal finisher, APT provides full surface engineering support to help products exceed design requirements. Core finishes include gold, silver, nickel, electroless nickel (EN), copper & tin. Seven proprietary finishes developed over our 75+ years in business including Ducta-Bright 7a® nickel & Black-TPD® plating of shell casings and Tacti-Black® EN for firearm components. ISO 13485 & 9001 certified, ITAR, Ty 10 FFL. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3465
"Advanced Powder Products, Inc.",Supplier -  MachiningSupplier -  MachinerySupplier -  StampingSupplier -  Packaging,"Advanced Powder Products, Inc. uses 3-D printed metal (printalloy), quick turn MIM (protoMIM) and metal injection molding (MIM) to manufacture components for many applications. APP is ISO 9001 and ISO 13485 certified, and excels in speed to market and alloy selection in prototype to high-volume manufacturing quantities. Complete tooling design, materials development, and manufacturing are available. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1735
